Linha;Terminal;Atendimento
3402;373;Água Quente
0340;93;Água Quente
2068;373;Água Quente
8074;251;Água Quente
3678;121;Águas Claras
8056;143;Águas Claras
8057;251;Águas Claras
0317;39;Ceilândia
0341;39;Ceilândia
0346;39;Ceilândia
0812;143;Ceilândia
8121;143;Ceilândia
8122;251;Ceilândia
0814;143;Circular interna
8141;143;Circular interna
0807;143;Circular interna
8062;262;Circular interna
8072;143;Circular interna
8076;143;Circular interna
8078;143;Circular interna
8063;262;Circular interna
0173;110;Colônia Agrícola Sucupira
0817;143;Corujão
0830;121;Corujão
0161;39;Cruzeiro
00841;110;Cruzeiro
0875;262;Estudantes
3401;93;Estudantes
3663;121;Estudantes
8068;262;Estudantes
2062;121;Gama
8151;251;Gama
8651;93;Gama
8652;262;Gama
0823;143;Guará
0850;93;Guará
0861;110;Guará
8231;251;Guará
8232;143;Guará
8501;121;Guará
0178;110;Instituto de Saúde Mental
1782;262;Instituto de Saúde Mental
1731;110;Kanegae
0176;110;L2 Sul/Norte
0392;121;L2 Sul/Norte
0816;143;L2 Sul/Norte
0819;251;L2 Sul/Norte
0851;93;L2 Sul/Norte
0853;93;L2 Sul/Norte
0884;262;L2 Sul/Norte
1602;39;L2 Sul/Norte
3922;121;L2 Sul/Norte
0822;143;Lago Sul
0834;121;Lago Sul
0835;93;Lago Sul
0368;110;M Norte
3681;110;M Norte
0366;121;Metrô
0806;262;Metrô
3403;373;Metrô
3661;93;Metrô
3665;93;Metrô
3667;121;Metrô
8061;251;Metrô
8071;143;Metrô
8075;251;Metrô
8079;251;Metrô
8073;143;Metrô
0056;93;P Sul
0347;39;P Sul
0399;93;P Sul
0562;121;P Sul
0564;121;P Sul
0898;262;P Sul
0129;39;Paranoá
1291;39;Paranoá
0160;39;Rodoviária do Plano Piloto
0172;110;Rodoviária do Plano Piloto
0373;121;Rodoviária do Plano Piloto
0380;121;Rodoviária do Plano Piloto
0394;93;Rodoviária do Plano Piloto
0809;143;Rodoviária do Plano Piloto
0810;143;Rodoviária do Plano Piloto
0821;93;Rodoviária do Plano Piloto
0825;93;Rodoviária do Plano Piloto
0871;251;Rodoviária do Plano Piloto
0881;262;Rodoviária do Plano Piloto
0882;262;Rodoviária do Plano Piloto
1601;39;Rodoviária do Plano Piloto
1727;110;Rodoviária do Plano Piloto
3732;121;Rodoviária do Plano Piloto
3733;121;Rodoviária do Plano Piloto
3802;121;Rodoviária do Plano Piloto
3804;121;Rodoviária do Plano Piloto
3941;93;Rodoviária do Plano Piloto
3944;93;Rodoviária do Plano Piloto
8131;143;Rodoviária do Plano Piloto
8251;93;Rodoviária do Plano Piloto
8701;262;Rodoviária do Plano Piloto
8707;251;Rodoviária do Plano Piloto
8709;251;Rodoviária do Plano Piloto
8744;251;Rodoviária do Plano Piloto
8813;262;Rodoviária do Plano Piloto
8823;262;Rodoviária do Plano Piloto
8703;262;Rodoviária do Plano Piloto
8095;143;Rodoviária do Plano Piloto
0082;39;SAAN
0818;143;SAAN
0841;93;SAAN
0844;121;SAAN
0845;93;SAAN
0876;262;SAAN
0878;251;SAAN
8181;143;SAAN
8443;121;SAAN
8452;93;SAAN
3914;121;Recolhimento
3964;93;Recolhimento
0397;121;Setor O
0808;143;Setor O
0873;251;Setor O
0883;262;Setor O
0886;110;Setor O
3972;121;Setor O
3981;93;Setor O
3983;93;Setor O
8081;143;Setor O
8085;143;Setor O
0087;262;SIA
8441;121;SIA
8442;121;SIA
0163;39;SIG / W3 Sul
0177;110;SIG / W3 Sul
3803;121;SIG / W3 Sul
0050;121;Taguacenter
0372;121;Taguacenter
0393;93;Taguacenter
0805;143;Taguacenter
0872;251;Taguacenter
3722;121;Taguacenter
3723;121;Taguacenter
3724;121;Taguacenter
3725;121;Taguacenter
3934;93;Taguacenter
8053;143;Taguacenter
8059;143;Taguacenter
8721;262;Taguacenter
8722;251;Taguacenter
8723;251;Taguacenter
8725;143;Taguacenter
8729;251;Taguacenter
0038;110;Taguatinga
0053;93;Taguatinga
0054;93;Taguatinga
0367;121;Taguatinga
0381;110;Taguatinga
3672;121;Taguatinga
3936;93;Taguatinga
3937;93;Taguatinga
8051;143;Taguatinga
8052;143;Taguatinga
8058;143;Taguatinga
8724;262;Taguatinga
8728;251;Taguatinga
0119;39;Vargem Bonita
0960;143;Vicente Pires
3729;121;Vicente Pires
0164;39;Vila Cauhy
3662;121;Vista Bela
0171;39;W3 Sul/Norte
0175;110;W3 Sul/Norte
0391;121;W3 Sul/Norte
0811;262;W3 Sul/Norte
0813;143;W3 Sul/Norte
8133;143;W3 Sul/Norte
3913;121;W3 Sul/Norte
3962;93;W3 Sul/Norte
3963;93;W3 Sul/Norte
8111;251;W3 Sul/Norte
8132;143;W3 Sul/Norte
8252;93;W3 Sul/Norte
8713;251;W3 Sul/Norte
8135;262;W3 Sul/Norte
